BU,schedule,range,step,biweekly,ak_annual_salary
XE,A00,28,Z,11049.75,287293.5
XE,A00,29,Z,11441.25,297472.5
XE,A00,30,Z,11844.0,307944.0
XE,N00,5,A,1171.5,30459.0
XE,N00,6,A,1237.5,32175.0
XE,N00,7,A,1311.75,34105.5
XE,N00,8,A,1384.5,35997.0
XE,N00,9,A,1469.25,38200.5
XE,N00,10,A,1560.0,40560.0
XE,N00,11,A,1658.25,43114.5
XE,N00,12,A,1758.75,45727.5
XE,N00,13,A,1871.25,48652.5
XE,N00,14,A,1996.5,51909.0
XE,N00,15,A,2135.25,55516.5
XE,N00,16,A,2289.75,59533.5
XE,N00,17,A,2452.5,63765.0
XE,N00,18,A,2636.25,68542.5
XE,N00,19,A,2823.0,73398.0
XE,N00,20,A,3009.75,78253.5
XE,N00,21,A,3221.25,83752.5
XE,N00,22,A,3440.25,89446.5
XE,N00,23,A,3677.25,95608.5
XE,N00,24,A,3934.5,102297.0
XE,N00,25,A,4211.25,109492.5
XE,N00,26,A,4368.75,113587.5
XE,N00,27,A,4514.25,117370.5
XE,N00,28,A,4666.5,121329.0
XE,N00,29,A,4836.0,125736.0
XE,N00,30,A,5016.0,130416.0
XE,N00,5,B,1203.75,31297.5
XE,N00,6,B,1274.25,33130.5
XE,N00,7,B,1346.25,35002.5
XE,N00,8,B,1425.75,37069.5
XE,N00,9,B,1516.5,39429.0
XE,N00,10,B,1608.0,41808.0
XE,N00,11,B,1706.25,44362.5
XE,N00,12,B,1809.75,47053.5
XE,N00,13,B,1930.5,50193.0
XE,N00,14,B,2064.75,53683.5
XE,N00,15,B,2211.75,57505.5
XE,N00,16,B,2376.75,61795.5
XE,N00,17,B,2544.75,66163.5
XE,N00,18,B,2730.0,70980.0
XE,N00,19,B,2919.0,75894.0
XE,N00,20,B,3124.5,81237.0
XE,N00,21,B,3339.75,86833.5
XE,N00,22,B,3568.5,92781.0
XE,N00,23,B,3810.75,99079.5
XE,N00,24,B,4074.75,105943.5
XE,N00,25,B,4368.75,113587.5
XE,N00,26,B,4514.25,117370.5
XE,N00,27,B,4666.5,121329.0
XE,N00,28,B,4836.0,125736.0
XE,N00,29,B,5016.0,130416.0
XE,N00,30,B,5195.25,135076.5
XE,N00,5,C,1237.5,32175.0
XE,N00,6,C,1311.75,34105.5
XE,N00,7,C,1384.5,35997.0
XE,N00,8,C,1469.25,38200.5
XE,N00,9,C,1560.0,40560.0
XE,N00,10,C,1658.25,43114.5
XE,N00,11,C,1758.75,45727.5
XE,N00,12,C,1871.25,48652.5
XE,N00,13,C,1996.5,51909.0
XE,N00,14,C,2135.25,55516.5
XE,N00,15,C,2289.75,59533.5
XE,N00,16,C,2452.5,63765.0
XE,N00,17,C,2636.25,68542.5
XE,N00,18,C,2823.0,73398.0
XE,N00,19,C,3009.75,78253.5
XE,N00,20,C,3221.25,83752.5
XE,N00,21,C,3440.25,89446.5
XE,N00,22,C,3677.25,95608.5
XE,N00,23,C,3934.5,102297.0
XE,N00,24,C,4211.25,109492.5
XE,N00,25,C,4514.25,117370.5
XE,N00,26,C,4666.5,121329.0
XE,N00,27,C,4836.0,125736.0
XE,N00,28,C,5016.0,130416.0
XE,N00,29,C,5195.25,135076.5
XE,N00,30,C,5391.0,140166.0
XE,N00,5,D,1274.25,33130.5
XE,N00,6,D,1346.25,35002.5
XE,N00,7,D,1425.75,37069.5
XE,N00,8,D,1516.5,39429.0
XE,N00,9,D,1608.0,41808.0
XE,N00,10,D,1706.25,44362.5
XE,N00,11,D,1809.75,47053.5
XE,N00,12,D,1930.5,50193.0
XE,N00,13,D,2064.75,53683.5
XE,N00,14,D,2211.75,57505.5
XE,N00,15,D,2376.75,61795.5
XE,N00,16,D,2544.75,66163.5
